pickup_datetime,pickup_latitude,pickup_longitude,uber_base,trip_distance,fare_amount,driver_rating,vehicle_type,ride_status,payment_method,hour,day,month
2014-04-24 19:32:00,40.774,-73.8719,B02682,8.515302945449879,212.88257363624697,4.900782440128247,SUV,Completed,Cash,19,Thursday,April
2014-04-26 15:51:00,40.7587,-73.9874,B02682,5.331968202650119,133.29920506625297,4.551237807814967,SUV,Completed,UPI,15,Saturday,April
2014-04-06 15:53:00,40.7119,-74.2091,B02598,1.0895964509795033,27.239911274487586,3.7079463691015953,Sedan,Completed,Card,15,Sunday,April
2014-04-10 19:01:00,40.7083,-74.0113,B02617,6.125376507551627,153.13441268879066,4.384418305630595,Sedan,Cancelled,UPI,19,Thursday,April
2014-04-03 20:54:00,40.7638,-73.9714,B02617,11.036966714410198,275.9241678602549,4.514909951981385,SUV,Completed,Cash,20,Thursday,April
2014-04-08 17:43:00,40.7555,-73.9873,B02682,18.9262988790219,473.1574719755475,3.864948846071687,Mini,Completed,UPI,17,Tuesday,April
2014-04-10 13:41:00,40.6901,-73.9869,B02764,4.929571371730679,123.23928429326698,4.97846720871669,Sedan,Completed,Card,13,Thursday,April
2014-04-24 08:10:00,40.7826,-73.9729,B02598,12.43925162515243,310.9812906288108,4.416383184261,Mini,Cancelled,UPI,8,Thursday,April
2014-04-08 19:34:00,40.7706,-73.9569,B02764,3.436134393067502,85.90335982668755,4.620254898062168,Sedan,Completed,Cash,19,Tuesday,April
2014-04-30 01:36:00,40.7111,-74.0057,B02682,7.789940144966044,194.7485036241511,4.58707781786126,Mini,Cancelled,Card,1,Wednesday,April
2014-04-11 17:45:00,40.7551,-73.9768,B02682,3.6023705944928186,90.05926486232046,4.651866342736796,Mini,Completed,UPI,17,Friday,April
2014-04-24 20:59:00,40.7428,-73.9905,B02598,18.675351611043283,466.8837902760821,4.449811313469533,SUV,Completed,UPI,20,Thursday,April
2014-04-04 16:14:00,40.7603,-73.9807,B02617,13.679844826815918,341.99612067039794,4.183179818854439,Mini,Completed,Card,16,Friday,April
2014-04-07 20:20:00,40.7578,-73.972,B02598,5.122543144175089,128.06357860437723,4.944633590828234,Mini,Completed,UPI,20,Monday,April
2014-04-26 07:46:00,40.6794,-73.9186,B02598,7.5083577925108065,187.70894481277017,4.19594786415941,SUV,Completed,Card,7,Saturday,April
2014-04-20 19:47:00,40.7593,-73.9692,B02617,7.284609582584522,182.11523956461303,4.195579919851147,Sedan,Completed,UPI,19,Sunday,April
2014-04-07 18:34:00,40.7215,-74.0101,B02682,12.14257636564496,303.564409141124,3.789344161552451,Mini,Completed,UPI,18,Monday,April
2014-04-04 17:09:00,40.749,-74.0053,B02598,1.0353049144228328,25.88262286057082,4.3131471668925965,SUV,Completed,UPI,17,Friday,April
2014-04-12 02:18:00,40.7488,-73.9925,B02512,10.341614635601095,258.54036589002743,3.9065937829289927,Sedan,Completed,Cash,2,Saturday,April
2014-04-03 07:18:00,40.6949,-74.1788,B02682,15.59858964764474,389.9647411911185,4.939942452922947,Sedan,Completed,UPI,7,Thursday,April
2014-04-05 17:13:00,40.7226,-73.9872,B02598,1.0058673893954126,25.14668473488532,3.9663699721135135,Mini,Completed,Card,17,Saturday,April
2014-04-19 21:21:00,40.7325,-73.9969,B02598,11.39760021026506,284.94000525662653,4.105932041455837,Sedan,Completed,Cash,21,Saturday,April
2014-04-08 17:02:00,40.7381,-73.9921,B02682,4.535928023317156,113.39820058292892,4.889959989502076,SUV,Cancelled,Card,17,Tuesday,April
2014-04-12 23:53:00,40.7392,-74.0027,B02617,11.366747853989455,284.1686963497364,3.711845344215889,Mini,Completed,UPI,23,Saturday,April
2014-04-30 20:10:00,40.7581,-73.9742,B02682,9.147494731991673,228.6873682997918,4.488285273681181,Mini,Completed,UPI,20,Wednesday,April
2014-04-03 09:57:00,40.7259,-73.9979,B02598,14.386077019558195,359.65192548895493,4.872312549109557,SUV,Completed,Card,9,Thursday,April
2014-04-05 20:34:00,40.73,-74.0036,B02598,3.3389388979707144,83.47347244926786,4.1326725636581605,Sedan,Completed,UPI,20,Saturday,April
2014-04-09 17:34:00,40.7505,-73.9767,B02682,7.6938838074875635,192.3470951871891,4.268426224253859,Mini,Completed,Cash,17,Wednesday,April
2014-04-14 16:11:00,40.7337,-73.9898,B02682,1.7591867039363622,43.97966759840906,3.71024741346223,Sedan,Completed,Card,16,Monday,April
2014-04-24 10:51:00,40.7671,-73.9939,B02617,12.675080265261032,316.87700663152583,4.266413413507042,Mini,Completed,Cash,10,Thursday,April
2014-04-09 10:17:00,40.7315,-74.0083,B02512,7.389649531843693,184.74123829609232,3.607367671432253,SUV,Completed,Cash,10,Wednesday,April
2014-04-14 05:07:00,40.7301,-74.0069,B02682,8.199177742584526,204.97944356461315,4.572584871052126,SUV,Completed,Cash,5,Monday,April
2014-04-08 16:11:00,40.7589,-73.9818,B02617,19.743577045341624,493.5894261335406,4.828515329163404,Mini,Completed,Cash,16,Tuesday,April
2014-04-01 11:15:00,40.6484,-73.9696,B02598,3.60571786677382,90.14294666934548,4.85001361171518,SUV,Completed,Cash,11,Tuesday,April
2014-04-22 20:42:00,40.6658,-73.9824,B02682,11.019847376886212,275.4961844221553,4.317639940795825,Sedan,Completed,Cash,20,Tuesday,April
2014-04-09 22:07:00,40.7692,-73.8659,B02617,14.987831434150484,374.69578585376206,4.673440453156139,SUV,Completed,UPI,22,Wednesday,April
2014-04-16 11:04:00,40.7838,-73.9778,B02682,18.399684474260024,459.99211185650057,3.7454641727172415,Sedan,Completed,Card,11,Wednesday,April
2014-04-08 13:40:00,40.7771,-73.9534,B02617,8.705221117598047,217.6305279399512,4.198231937009297,Mini,Completed,UPI,13,Tuesday,April
2014-04-27 00:04:00,40.7314,-73.9907,B02598,19.376277375065595,484.4069343766399,4.927583799035609,Sedan,Completed,Cash,0,Sunday,April
